Title:,"Vehicles in Fatal Crashes, by Vehicle Type from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,
SubTitle:,USA,,,,,,,
Time:,01/1988 - 12/2019,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#
Citation:,"National Highway Traffic Safety Administration (2021-04-27). Vehicles in Fatal Crashes, by Vehicle Type: Vehicles in Fatal Crashes, by Vehicle Type |  | All Vehicles | Passenger Cars | Light Trucks | Large Trucks | Motorcycles | Buses | Other/Unknown | Not Supported, 01/1988 - 12/2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-001 doi:https://doi.org/10.6068/DP17D47ECDA4122",,,,,,,
ColumnCount:,9,,,,,,,
RowCount:,384,,,,,,,
,,,,,,,,
Time,All Vehicles,Passenger Cars,Light Trucks,Large Trucks,Motorcycles,Buses,Other/Unknown,Not Supported
Jan-88,4275,2644,328,48,22,707,108,418
Feb-88,4041,2427,353,49,10,698,70,434
Mar-88,4630,2735,441,55,18,825,70,486
Apr-88,4904,2922,519,72,23,836,87,445
May-88,5322,3054,700,62,28,865,95,518
Jun-88,5568,3189,706,74,36,915,83,565
Jul-88,5824,3317,781,81,35,950,130,530
Aug-88,5867,3300,742,76,38,1004,131,576
Sep-88,5614,3213,658,73,25,970,126,549
Oct-88,5784,3443,546,83,36,993,127,556
Nov-88,5227,3236,402,50,14,891,122,512
Dec-88,5647,3495,428,63,17,958,111,575
Jan-89,4510,2785,341,55,20,764,115,430
Feb-89,3991,2421,311,41,14,703,78,423
Mar-89,4735,2824,446,56,13,808,106,482
Apr-89,4788,2786,498,45,19,874,91,475
May-89,5085,2872,672,68,38,863,92,480
Jun-89,5182,2881,652,72,37,893,130,517
Jul-89,5609,3114,744,82,32,960,116,561
Aug-89,5521,2990,722,102,44,954,129,580
Sep-89,5443,3128,597,67,27,983,115,526
Oct-89,5577,3254,587,94,31,918,119,574
Nov-89,4943,2935,426,78,31,851,101,521
Dec-89,5486,3419,378,73,27,926,134,529
Jan-90,4385,2565,367,62,11,829,99,452
Feb-90,3955,2376,324,53,17,661,93,431
Mar-90,4682,2761,465,61,18,798,95,484
Apr-90,4648,2718,483,54,21,839,79,454
May-90,5056,2922,567,59,31,856,128,493
Jun-90,5363,3010,708,71,37,875,98,564
Jul-90,5662,3111,740,77,45,1037,141,511
Aug-90,5565,3054,719,84,38,991,115,564
Sep-90,5272,2941,658,74,27,917,130,525
Oct-90,5088,2872,529,98,26,933,122,508
Nov-90,4828,2813,442,73,28,827,120,525
Dec-90,4788,2942,360,68,16,831,105,466
Jan-91,3669,2150,971,356,71,28,89,4
Feb-91,3647,2159,1002,302,89,22,69,4
Mar-91,4247,2557,1145,291,153,24,75,2
Apr-91,4071,2347,1083,308,227,27,71,8
May-91,4793,2716,1228,369,353,25,98,4
Jun-91,5068,2769,1367,384,411,19,108,10
Jul-91,5155,2771,1444,372,431,15,115,7
Aug-91,5366,2944,1432,431,418,20,117,4
Sep-91,4810,2698,1300,399,293,16,97,7
Oct-91,4881,2739,1330,452,205,38,117,
Nov-91,4736,2809,1326,371,105,21,99,5
Dec-91,4352,2632,1205,311,73,19,106,6
Jan-92,3799,2243,1056,330,71,19,74,6
Feb-92,3589,2137,995,289,81,24,57,6
Mar-92,3716,2209,1017,268,134,25,61,2
Apr-92,3881,2194,1091,296,209,21,64,6
May-92,4548,2571,1239,288,330,22,95,3
Jun-92,4755,2614,1333,363,323,25,94,3
Jul-92,4670,2561,1323,343,313,23,107,
Aug-92,4916,2721,1376,375,308,19,110,7
Sep-92,4347,2349,1279,364,256,30,67,2
Oct-92,5052,2891,1381,444,221,25,87,3
Nov-92,4398,2619,1231,331,128,31,55,3
Dec-92,4556,2708,1328,343,65,21,88,3
Jan-93,3749,2205,1050,328,67,20,77,2
Feb-93,3497,2072,957,299,72,20,73,4
Mar-93,3973,2284,1111,355,117,31,70,5
Apr-93,4051,2281,1125,327,215,26,76,1
May-93,4654,2590,1344,306,302,18,89,5
Jun-93,4535,2468,1326,349,281,11,95,5
Jul-93,5101,2743,1459,389,369,14,118,9
Aug-93,5134,2707,1500,426,365,18,111,7
Sep-93,4774,2556,1380,382,308,31,109,8
Oct-93,5150,3001,1406,395,210,18,114,6
Nov-93,4646,2659,1377,385,106,25,88,6
Dec-93,4513,2667,1284,387,65,31,78,1
Jan-94,3817,2134,1160,362,66,25,66,4
Feb-94,3551,1962,1082,327,78,28,71,3
Mar-94,4058,2301,1186,341,143,22,63,2
Apr-94,4360,2419,1258,376,208,17,81,1
May-94,4649,2540,1347,361,289,18,92,2
Jun-94,4607,2452,1358,403,274,23,96,1
Jul-94,5026,2669,1498,370,350,13,123,3
Aug-94,5114,2742,1532,444,294,12,89,1
Sep-94,4812,2605,1409,416,252,33,95,2
Oct-94,5186,2842,1561,446,220,22,92,3
Nov-94,4753,2683,1459,400,93,24,92,2
Dec-94,4978,2924,1496,398,72,21,66,1
Jan-95,4149,2317,1297,377,55,20,77,6
Feb-95,3747,2178,1109,315,71,24,47,3
Mar-95,4341,2423,1343,366,125,23,60,1
Apr-95,4291,2421,1324,299,183,15,48,1
May-95,4529,2465,1356,338,265,19,79,7
Jun-95,4921,2602,1523,383,294,13,98,8
Jul-95,5061,2679,1607,359,309,10,92,5
Aug-95,5426,2864,1685,420,324,23,105,5
Sep-95,5097,2748,1542,417,252,32,98,8
Oct-95,5295,2836,1702,415,220,30,87,5
Nov-95,4815,2680,1526,401,95,37,71,5
Dec-95,4852,2727,1551,382,75,25,89,3
Jan-96,4207,2227,1368,407,76,49,74,6
Feb-96,4037,2199,1267,385,81,27,73,5
Mar-96,4382,2406,1402,365,106,30,68,5
Apr-96,4476,2492,1341,369,185,24,61,4
May-96,4659,2467,1483,345,245,24,94,1
Jun-96,5114,2595,1646,399,337,21,109,7
Jul-96,4795,2500,1536,385,258,19,91,6
Aug-96,5285,2684,1741,411,314,21,113,1
Sep-96,4937,2641,1493,419,248,32,102,2
Oct-96,5303,2863,1631,494,193,27,92,3
Nov-96,5051,2788,1670,379,73,26,111,4
Dec-96,5101,2865,1651,396,60,26,101,2
Jan-97,4376,2415,1408,391,52,28,78,4
Feb-97,3860,2091,1265,326,82,27,68,1
Mar-97,4288,2319,1401,353,134,22,56,3
Apr-97,4367,2323,1404,381,165,24,66,4
May-97,5087,2667,1659,397,245,30,84,5
Jun-97,4954,2516,1584,439,302,16,89,8
Jul-97,5126,2620,1678,424,291,15,92,6
Aug-97,5289,2698,1731,464,288,19,85,4
Sep-97,4716,2379,1543,441,232,28,91,2
Oct-97,5159,2692,1671,461,215,28,88,4
Nov-97,4800,2566,1617,412,91,30,83,1
Dec-97,5038,2773,1654,428,63,30,89,1
Jan-98,4255,2258,1434,387,62,27,82,5
Feb-98,3850,2095,1288,324,73,20,48,2
Mar-98,4254,2236,1430,391,108,26,60,3
Apr-98,4262,2218,1406,354,177,31,72,4
May-98,4770,2400,1599,390,281,35,61,4
Jun-98,4772,2341,1634,438,254,16,81,8
Jul-98,5215,2571,1730,447,357,18,87,5
Aug-98,5473,2680,1892,460,334,12,90,5
Sep-98,4913,2426,1635,458,270,26,95,3
Oct-98,5072,2596,1689,463,216,23,80,5
Nov-98,4831,2519,1705,378,121,28,76,4
Dec-98,5255,2700,1911,464,81,27,65,7
Jan-99,3917,2014,1417,315,57,28,84,2
Feb-99,3712,1914,1291,329,90,34,49,5
Mar-99,4343,2233,1516,361,140,26,63,4
Apr-99,4294,2127,1471,372,214,25,77,8
May-99,4994,2464,1696,425,281,38,86,4
Jun-99,4818,2325,1647,417,313,20,90,6
Jul-99,5144,2384,1812,463,356,16,103,10
Aug-99,5361,2497,1905,487,351,15,99,7
Sep-99,5025,2363,1798,434,292,36,99,3
Oct-99,5282,2563,1865,473,234,27,111,9
Nov-99,4938,2526,1746,432,135,31,61,7
Dec-99,4992,2617,1783,411,69,23,86,3
Jan-00,4402,2129,1685,377,80,40,86,5
Feb-00,3904,1932,1416,370,90,27,66,3
Mar-00,4369,2120,1542,403,199,33,69,3
Apr-00,4639,2336,1589,362,248,25,74,5
May-00,4863,2296,1730,399,330,31,74,3
Jun-00,5027,2322,1716,476,400,30,79,4
Jul-00,5344,2524,1903,406,401,14,91,5
Aug-00,5289,2428,1842,471,428,18,97,5
Sep-00,5137,2424,1794,456,347,24,91,1
Oct-00,5178,2545,1819,448,251,26,86,3
Nov-00,4625,2363,1622,428,119,25,63,5
Dec-00,4817,2383,1832,399,82,32,85,4
Jan-01,4117,2066,1481,384,73,30,80,3
Feb-01,3956,1975,1437,354,97,27,65,1
Mar-01,4311,2131,1559,376,156,27,60,2
Apr-01,4526,2195,1558,352,308,32,77,4
May-01,5028,2305,1790,464,357,30,80,2
Jun-01,4873,2246,1738,390,402,9,84,4
Jul-01,5229,2396,1870,393,442,16,104,8
Aug-01,5373,2472,1854,472,425,21,124,5
Sep-01,4930,2275,1740,410,388,16,97,4
Oct-01,5304,2525,1919,447,272,32,101,8
Nov-01,5104,2440,1907,412,201,28,112,4
Dec-01,5167,2560,1965,369,144,24,102,3
Jan-02,4567,2256,1715,372,102,34,86,2
Feb-02,4034,1975,1520,319,127,22,66,5
Mar-02,4727,2281,1747,401,184,19,88,7
Apr-02,4455,2144,1618,317,260,17,96,3
May-02,5008,2318,1809,390,375,25,88,3
Jun-02,5155,2290,1889,401,451,26,96,2
Jul-02,5262,2368,1943,393,431,14,109,4
Aug-02,5314,2310,1986,409,482,12,111,4
Sep-02,5109,2330,1798,391,432,32,120,6
Oct-02,5154,2407,1918,439,250,29,108,3
Nov-02,4796,2313,1804,394,178,29,76,2
Dec-02,4845,2382,1900,361,93,15,89,5
Jan-03,4167,1947,1696,328,85,32,79,
Feb-03,3809,1777,1475,355,98,25,79,
Mar-03,4370,2042,1662,345,216,14,91,
Apr-03,4812,2194,1723,408,376,17,94,
May-03,4924,2248,1814,357,373,30,102,
Jun-03,5126,2251,1866,404,460,10,135,
Jul-03,5373,2276,2052,401,509,17,118,
Aug-03,5574,2389,2107,394,536,21,127,
Sep-03,5070,2220,1834,427,472,24,93,
Oct-03,5482,2460,2061,466,351,37,107,
Nov-03,5279,2522,2027,399,198,37,96,
Dec-03,4891,2236,1983,436,128,27,81,
Jan-04,4505,2075,1747,444,125,25,89,
Feb-04,4055,1929,1535,331,146,28,86,
Mar-04,4449,2032,1692,357,270,25,73,
Apr-04,4683,2085,1734,399,366,21,78,
May-04,5152,2203,1938,386,469,28,128,
Jun-04,5145,2129,1971,429,480,14,122,
Jul-04,5294,2182,1967,426,576,11,132,
Aug-04,5419,2198,2064,471,549,24,113,
Sep-04,4910,2032,1856,410,464,20,128,
Oct-04,5231,2282,2012,444,349,21,123,
Nov-04,4849,2224,1944,371,191,33,86,
Dec-04,5037,2311,2027,433,136,29,101,
Jan-05,4298,1968,1682,362,148,32,106,
Feb-05,4011,1812,1628,330,130,21,90,
Mar-05,4411,1959,1692,394,239,23,104,
Apr-05,4914,2054,1875,392,446,27,120,
May-05,5019,2083,1916,387,487,30,116,
Jun-05,5186,2086,1955,475,527,14,129,
Jul-05,5683,2284,2185,423,622,14,155,
Aug-05,5282,2170,1897,474,579,13,149,
Sep-05,5081,2034,1850,428,609,22,138,
Oct-05,5504,2314,2102,486,458,30,114,
Nov-05,5212,2265,2106,400,291,27,123,
Dec-05,4894,2140,2076,400,146,27,105,
Jan-06,4411,1960,1753,363,191,31,113,
Feb-06,4047,1778,1650,354,161,23,81,
Mar-06,4612,1998,1801,369,297,36,111,
Apr-06,4658,1905,1751,376,493,22,111,
May-06,5117,2116,1869,412,576,24,120,
Jun-06,5120,1994,1941,460,589,21,115,
Jul-06,5236,2066,1989,369,652,21,139,
Aug-06,5153,2064,1856,458,613,13,149,
Sep-06,4956,1997,1840,396,555,30,138,
Oct-06,5235,2211,2046,465,360,34,119,
Nov-06,4793,2037,1937,390,300,32,97,
Dec-06,4756,2134,1978,354,176,18,96,
Jan-07,4060,1791,1687,328,138,26,90,
Feb-07,3968,1730,1593,379,151,26,89,
Mar-07,4746,1925,1880,393,392,38,118,
Apr-07,4614,1959,1762,336,438,19,100,
May-07,4899,1923,1840,348,647,26,115,
Jun-07,4961,1938,1831,423,626,17,126,
Jul-07,5123,1933,1962,392,686,13,137,
Aug-07,5029,1909,1888,424,660,19,129,
Sep-07,4753,1808,1755,401,635,20,134,
Oct-07,4961,2021,1821,482,489,28,120,
Nov-07,4640,1979,1871,386,268,26,110,
Dec-07,4499,1940,1920,341,176,23,99,
Jan-08,3916,1784,1527,359,148,30,68,
Feb-08,3929,1713,1528,388,193,22,85,
Mar-08,3834,1659,1503,281,294,21,76,
Apr-08,4021,1568,1513,328,501,25,86,
May-08,4329,1678,1558,324,613,27,129,
Jun-08,4487,1682,1641,355,698,10,101,
Jul-08,4422,1638,1548,381,717,13,125,
Aug-08,4663,1758,1662,327,745,20,151,
Sep-08,4185,1562,1531,370,574,24,124,
Oct-08,4512,1871,1649,369,483,22,118,
Nov-08,4151,1781,1701,278,278,16,97,
Dec-08,4211,1780,1818,329,165,21,98,
Jan-09,3565,1528,1488,296,144,18,91,
Feb-09,3171,1397,1271,207,209,24,63,
Mar-09,3459,1418,1417,228,273,19,104,
Apr-09,3930,1558,1521,286,465,17,83,
May-09,4100,1615,1546,233,582,15,109,
Jun-09,4013,1541,1496,290,551,13,122,
Jul-09,4083,1470,1613,293,592,17,98,
Aug-09,4196,1617,1580,287,582,10,120,
Sep-09,3869,1538,1439,256,511,24,101,
Oct-09,3857,1615,1552,270,308,26,86,
Nov-09,3720,1593,1461,276,283,20,87,
Dec-09,3577,1523,1574,289,103,18,70,
Jan-10,3107,1371,1268,252,125,13,78,
Feb-10,2801,1211,1147,236,110,20,77,
Mar-10,3336,1434,1257,271,265,31,78,
Apr-10,3804,1542,1395,280,468,25,94,
May-10,3956,1539,1452,280,551,18,116,
Jun-10,3821,1390,1454,275,587,15,100,
Jul-10,4200,1525,1615,290,619,10,141,
Aug-10,4183,1521,1565,352,629,20,96,
Sep-10,4094,1527,1580,321,526,28,112,
Oct-10,4136,1655,1586,308,442,33,112,
Nov-10,3854,1578,1636,338,214,16,72,
Dec-10,3570,1511,1536,291,115,22,95,
Jan-11,3076,1345,1206,269,153,24,77,2
Feb-11,2868,1167,1177,245,182,26,71,
Mar-11,3311,1341,1331,290,267,19,58,5
Apr-11,3508,1433,1283,276,408,26,79,3
May-11,3744,1414,1387,286,533,23,96,5
Jun-11,3937,1446,1402,341,604,16,127,1
Jul-11,4232,1591,1553,296,652,11,128,1
Aug-11,4109,1469,1503,384,640,6,102,5
Sep-11,3824,1457,1384,340,507,20,113,3
Oct-11,4194,1694,1594,324,444,17,120,1
Nov-11,3692,1587,1464,301,235,15,88,2
Dec-11,3624,1562,1522,281,144,17,95,3
Jan-12,3330,1454,1334,266,174,15,83,4
Feb-12,3189,1389,1269,276,161,24,69,1
Mar-12,3678,1460,1352,321,439,17,86,3
Apr-12,3548,1434,1289,275,451,26,67,6
May-12,3966,1479,1446,324,580,17,112,8
Jun-12,4131,1499,1522,322,666,9,108,5
Jul-12,4164,1548,1561,323,603,13,111,5
Aug-12,4258,1575,1547,374,625,19,111,7
Sep-12,4074,1561,1471,334,575,27,97,9
Oct-12,3997,1607,1496,364,395,19,111,5
Nov-12,3853,1623,1514,341,276,21,74,4
Dec-12,3772,1633,1550,304,168,16,98,3
Jan-13,3416,1424,1403,335,163,20,70,1
Feb-13,2845,1174,1178,254,136,17,79,7
Mar-13,3552,1488,1370,288,301,19,84,2
Apr-13,3464,1398,1274,286,397,22,81,6
May-13,3817,1444,1375,345,504,35,102,12
Jun-13,4009,1481,1451,372,573,15,111,6
Jul-13,3933,1453,1450,303,584,16,124,3
Aug-13,4304,1604,1505,327,695,17,149,7
Sep-13,4106,1586,1452,327,612,23,100,6
Oct-13,4135,1622,1546,379,433,38,113,4
Nov-13,3803,1650,1447,345,265,13,78,5
Dec-13,3717,1623,1478,359,137,19,92,9
Jan-14,3260,1361,1335,327,164,19,51,3
Feb-14,2802,1191,1128,243,145,19,74,2
Mar-14,3374,1379,1313,305,279,23,68,7
Apr-14,3478,1394,1296,287,389,22,88,2
May-14,3891,1507,1372,310,564,23,111,4
Jun-14,3887,1394,1423,343,621,11,92,3
Jul-14,4011,1476,1467,324,590,12,137,5
Aug-14,4175,1585,1543,309,585,16,133,4
Sep-14,3897,1480,1443,313,522,25,110,4
Oct-14,4242,1718,1585,357,422,22,135,3
Nov-14,4044,1715,1655,321,243,19,89,2
Dec-14,3889,1688,1602,308,181,16,90,4
Jan-15,3584,1556,1427,320,167,17,91,6
Feb-15,3057,1279,1242,283,152,19,81,1
Mar-15,3721,1536,1465,311,320,15,70,4
Apr-15,3741,1489,1391,306,430,24,101,
May-15,4333,1688,1587,346,575,24,109,4
Jun-15,4260,1638,1527,363,585,16,127,4
Jul-15,4628,1713,1727,377,666,14,127,4
Aug-15,4630,1727,1750,351,648,14,138,2
Sep-15,4380,1715,1613,334,560,34,121,3
Oct-15,4610,1847,1743,370,493,27,121,9
Nov-15,4212,1773,1694,350,269,23,100,3
Dec-15,4322,1844,1703,364,266,22,119,4
Jan-16,3483,1520,1398,280,161,19,102,3
Feb-16,3668,1586,1400,315,243,18,101,5
Mar-16,4065,1708,1558,331,346,19,98,5
Apr-16,4172,1648,1558,354,472,18,117,5
